BIOME_NAME,SLCA_0001,SLCA_1001,SLCA_0101,SLCA_1101,SLCA_0011,SLCA_1011,SLCA_0111,SLCA_1111
Boreal Forests/Taiga,29.1,29.6,29.26,29.22,29.89,29.6,29.46,29.22
Deserts & Xeric Shrublands,28.92,29.28,31.41,31.33,30.16,29.27,30.57,31.31
Flooded Grasslands & Savannas,40.26,42.02,42.7,42.7,40.82,41.93,41.1,42.85
Mangroves,37.2,36.77,43.24,42.61,36.8,37.3,40.34,42.51
"Mediterranean Forests, Woodlands & Scrub",31.46,31.72,32.18,32.18,31.78,31.74,31.58,32.07
Montane Grasslands & Shrublands,30.55,30.48,30.93,30.92,31.08,30.48,31.02,31.08
Temperate Broadleaf & Mixed Forests,29.85,30.64,32.5,32.47,30.55,30.61,31.36,32.39
Temperate Conifer Forests,31.82,33.78,39.62,39.7,30.61,33.65,35.56,39.37
"Temperate Grasslands, Savannas & Shrublands",29.48,30.12,27.37,27.35,29.75,30.13,28.18,27.51
Tropical & Subtropical Coniferous Forests,34.46,34.72,37.32,37.2,33.65,34.47,35.29,36.94
Tropical & Subtropical Dry Broadleaf Forests,28.38,28.49,29.03,28.99,29.55,28.57,28.84,29.25
"Tropical & Subtropical Grasslands, Savannas & Shrublands",31.31,31.17,31.04,31.03,30.66,31.19,30.62,31.17
Tropical & Subtropical Moist Broadleaf Forests,36.53,36.45,38.35,38.3,36.56,36.4,37.26,37.97
Tundra,31.53,32.8,33.11,33.06,32.41,32.93,33.14,33.09
