"scenario","mean","min","max","low","high"
"S",1.02395442640915,0.225099601593625,1.96875,0.902720450281426,1.23094634873323
"L",1.05929326659738,0.635458167330677,2,0.970756302521008,1.31855036855037
"C",1.11016941680712,0.839851024208566,4,0.997720797720798,1.33206590621039
"SL",1.03738870139484,0.438247011952191,1.5,0.943910256410256,1.24274099883856
"LS",1.07362715898796,0.601593625498008,5,0.933315261588506,1.30774259314064
"SC",1.11907468300762,0.843575418994413,5.5,0.996992481203008,1.33333333333333
"CS",1.08363293957861,0,2.38461538461538,0.95047619047619,1.34820156325655
"LC",1.10159406568646,0.808764940239044,4.5,1,1.29165101156069
"CL",1.07420030276566,0.798722044728435,3.5,0.977491146660154,1.24872727272727
"SLC",1.10633029537714,0.823705179282869,6,0.990638990638991,1.28445512820513
"SCL",1.07423615488617,0.789137380191693,4,0.985112781954887,1.23753571428571
"LSC",1.10156110226341,0.820717131474104,5,0.997720797720798,1.29803788498772
"LCS",1.07853555106355,0.5,2.26923076923077,0.942536277602524,1.31013385712207
"CSL",1.05499810698177,0.74800796812749,2,0.95926267281106,1.25726242371404
"CLS",1.07420030276566,0.798722044728435,3.5,0.977491146660154,1.24872727272727
